season,element_id,name,position,team
2026,10,Benjamin White,DEF,ARS
2026,11,Cristhian Mosquera,DEF,ARS
2026,31,Ezri Konsa Ngoyo,DEF,ARS
2026,4,Gabriel dos Santos Magalhães,DEF,ARS
2026,5,Jurriën Timber,DEF,ARS
2026,9,Piero Hincapié,DEF,ARS
2026,8,Riccardo Calafiori,DEF,ARS
2026,6,William Saliba,DEF,ARS
2026,38,Andrés García,DEF,AVL
2026,36,Ian Maatsen,DEF,AVL
2026,39,Kosta Nedeljkovic,DEF,AVL
2026,30,Lucas Digne,DEF,AVL
2026,596,Matteo Ruggeri,DEF,AVL
2026,32,Matty Cash,DEF,AVL
2026,34,Pau Torres,DEF,AVL
2026,33,Tyrone Mings,DEF,AVL
2026,37,Victor Lindelöf,DEF,AVL
2026,117,Diego Coppola,DEF,BHA
2026,113,Ferdi Kadıoğlu,DEF,BHA
2026,118,Igor Julio dos Santos de Paulo,DEF,BHA
2026,119,João Pedro Loureiro da Costa,DEF,BHA
2026,116,Lewis Dunk,DEF,BHA
2026,504,Luka Vušković,DEF,BHA
2026,130,Mats Wieffer,DEF,BHA
2026,115,Maxim De Cuyper,DEF,BHA
2026,120,Michael Svoboda,DEF,BHA
2026,114,Olivier Boscagli,DEF,BHA
2026,328,Pascal Struijk,DEF,BHA
2026,64,Adam Smith,DEF,BOU
2026,61,Adrien Truffert,DEF,BOU
2026,555,António João Pereira de Albuquerque Tavares da Silva,DEF,BOU
2026,62,Bafodé Diakité,DEF,BOU
2026,60,James Hill,DEF,BOU
2026,573,Juanlu Sánchez,DEF,BOU
2026,66,Julio Soler Barreto,DEF,BOU
2026,65,Julián Araujo Zúñiga,DEF,BOU
2026,63,Veljko Milosavljevic,DEF,BOU
2026,90,Aaron Hickey,DEF,BRE
2026,91,Ethan Pinnock,DEF,BRE
2026,93,Jannik Schuster,DEF,BRE
2026,92,Kim Ji-soo,DEF,BRE
2026,87,Kristoffer Ajer,DEF,BRE
2026,88,Michael Kayode,DEF,BRE
2026,84,Nathan Collins,DEF,BRE
2026,89,Rico Henry,DEF,BRE
2026,85,Sepp van den Berg,DEF,BRE
2026,558,Aaron Anselmino,DEF,CHE
2026,153,Axel Disasi,DEF,CHE
2026,146,Benoît Badiashile Mukinayi,DEF,CHE
2026,148,Jorrel Hato,DEF,CHE
2026,151,Josh Acheampong,DEF,CHE
2026,149,Levi Samuels Colwill,DEF,CHE
2026,144,Malo Gusto,DEF,CHE
2026,150,Mamadou Sarr,DEF,CHE
2026,152,Marco Palestra,DEF,CHE
2026,200,Maxence Lacroix,DEF,CHE
2026,583,Pep Chavarría,DEF,CHE
2026,142,Reece James,DEF,CHE
2026,147,Tosin Adarabioyo,DEF,CHE
2026,143,Trevoh Chalobah,DEF,CHE
2026,145,Wesley Fofana,DEF,CHE
2026,182,Aurèle Amenda,DEF,COV
2026,173,Bobby Thomas,DEF,COV
2026,178,Jake Bidwell,DEF,COV
2026,176,Jay Dasilva,DEF,COV
2026,179,Joel Latibeaudiere,DEF,COV
2026,177,Kaine Kesler-Hayden,DEF,COV
2026,174,Liam Kitching,DEF,COV
2026,180,Luke Woolfenden,DEF,COV
2026,181,Miguel Brau,DEF,COV
2026,175,Milan van Ewijk,DEF,COV
2026,588,Anan Khalaili,DEF,CRY
2026,205,Borna Sosa,DEF,CRY
2026,206,Chadi Riad Dnanou,DEF,CRY
2026,202,Chris Richards,DEF,CRY
2026,201,Daniel Muñoz Mejía,DEF,CRY
2026,203,Jaydee Canvot,DEF,CRY
2026,207,Oscar Mingueza,DEF,CRY
2026,220,Rio Cardines,DEF,CRY
2026,575,Takehiro Tomiyasu,DEF,CRY
2026,204,Tyrick Mitchell,DEF,CRY
2026,235,Adam Aznou,DEF,EVE
2026,232,Jake O'Brien,DEF,EVE
2026,229,James Tarkowski,DEF,EVE
2026,230,Jarrad Branthwaite,DEF,EVE
2026,231,Michael Keane,DEF,EVE
2026,234,Nathan Patterson,DEF,EVE
2026,233,Vitalii Mykolenko,DEF,EVE
2026,254,Antonee Robinson,DEF,FUL
2026,257,Calvin Bassey,DEF,FUL
2026,253,Joachim Andersen,DEF,FUL
2026,255,Jorge Cuenca Barreno,DEF,FUL
2026,256,Kenny Tete,DEF,FUL
2026,269,Ryan Sessegnon,DEF,FUL
2026,258,Timothy Castagne,DEF,FUL
2026,284,Cathal McCarthy,DEF,HUL
2026,278,Charlie Hughes,DEF,HUL
2026,281,Cody Drameh,DEF,HUL
2026,277,John Egan,DEF,HUL
2026,280,Lewie Coyle,DEF,HUL
2026,585,Lucas Herrington,DEF,HUL
2026,560,Matt Targett,DEF,HUL
2026,283,Matty Jacob,DEF,HUL
2026,586,Nobel Mendy,DEF,HUL
2026,285,Paddy McNair,DEF,HUL
2026,282,Ryan Giles,DEF,HUL
2026,279,Semi Ajayi,DEF,HUL
2026,592,Abdoul Ouattara,DEF,IPS
2026,307,Ben Johnson,DEF,IPS
2026,303,Cédric Kipré,DEF,IPS
2026,304,Dara O'Shea,DEF,IPS
2026,308,Darnell Furlong,DEF,IPS
2026,259,Issa Diop,DEF,IPS
2026,306,Jacob Greaves,DEF,IPS
2026,305,Leif Davis,DEF,IPS
2026,331,Gabriel Gudmundsson,DEF,LEE
2026,327,Jaka Bijol,DEF,LEE
2026,332,James Justin,DEF,LEE
2026,330,Jayden Bogle,DEF,LEE
2026,329,Joe Rodon,DEF,LEE
2026,599,Nico Elvedi,DEF,LEE
2026,333,Sebastiaan Bornauw,DEF,LEE
2026,334,Tarik Muharemović,DEF,LEE
2026,365,Calvin Ramsay,DEF,LIV
2026,360,Conor Bradley,DEF,LIV
2026,363,Giovanni Leoni,DEF,LIV
2026,357,Jeremie Frimpong,DEF,LIV
2026,362,Jeremy Jacquet,DEF,LIV
2026,359,Joe Gomez,DEF,LIV
2026,364,Kostas Tsimikas,DEF,LIV
2026,358,Milos Kerkez,DEF,LIV
2026,580,Ronald Araujo,DEF,LIV
2026,356,Virgil van Dijk,DEF,LIV
2026,361,Wellity Lucky,DEF,LIV
2026,393,Abdukodir Khusanov,DEF,MCI
2026,391,Joško Gvardiol,DEF,MCI
2026,388,Marc Guéhi,DEF,MCI
2026,389,Matheus Nunes,DEF,MCI
2026,394,Max Alleyne,DEF,MCI
2026,387,Nico O'Reilly,DEF,MCI
2026,392,Rayan Aït-Nouri,DEF,MCI
2026,395,Rico Lewis,DEF,MCI
2026,390,Rúben dos Santos Gato Alves Dias,DEF,MCI
2026,396,Vitor de Oliveira Nunes dos Reis,DEF,MCI
2026,421,Ayden Heaven,DEF,MUN
2026,417,Diogo Dalot Teixeira,DEF,MUN
2026,424,Harry Amass,DEF,MUN
2026,418,Harry Maguire,DEF,MUN
2026,420,Leny Yoro,DEF,MUN
2026,419,Lisandro Martínez,DEF,MUN
2026,423,Luke Shaw,DEF,MUN
2026,416,Matthijs de Ligt,DEF,MUN
2026,422,Noussair Mazraoui,DEF,MUN
2026,425,Tyler Fredricson,DEF,MUN
2026,451,Alex Murphy,DEF,NEW
2026,595,Amar Dedic,DEF,NEW
2026,448,Dan Burn,DEF,NEW
2026,446,Fabian Schär,DEF,NEW
2026,449,Lewis Hall,DEF,NEW
2026,445,Malick Thiaw,DEF,NEW
2026,447,Sven Botman,DEF,NEW
2026,450,Tino Livramento,DEF,NEW
2026,470,Felipe Rodrigues da Silva,DEF,NFO
2026,474,Jair Paula da Cunha Filho,DEF,NFO
2026,478,Luca Netz,DEF,NFO
2026,472,Murillo Costa dos Santos,DEF,NFO
2026,469,Neco Williams,DEF,NFO
2026,475,Nicolò Savona,DEF,NFO
2026,471,Nikola Milenković,DEF,NFO
2026,473,Ola Aina,DEF,NFO
2026,476,Omar Richards,DEF,NFO
2026,581,Ousmane Diomande,DEF,NFO
2026,479,Tyler Bindon,DEF,NFO
2026,477,Zach Abbott,DEF,NFO
2026,540,Arthur Masuaku,DEF,SUN
2026,532,Daniel Ballard,DEF,SUN
2026,537,Jenson Seelt,DEF,SUN
2026,538,Leo Fuhr Hjelde,DEF,SUN
2026,539,Luke O'Nien,DEF,SUN
2026,533,Nordi Mukiele,DEF,SUN
2026,535,Omar Alderete,DEF,SUN
2026,536,Reinildo Mandava,DEF,SUN
2026,541,Thomas Meunier,DEF,SUN
2026,534,Trai Hume,DEF,SUN
2026,502,Andrew Robertson,DEF,TOT
2026,507,Ashley Phillips,DEF,TOT
2026,508,Ben Davies,DEF,TOT
2026,500,Cristian Romero,DEF,TOT
2026,506,Destiny Udogie,DEF,TOT
2026,505,Djed Spence,DEF,TOT
2026,510,James Rowswell,DEF,TOT
2026,112,Jan Paul van Hecke,DEF,TOT
2026,511,João Victor de Souza Menezes,DEF,TOT
2026,509,Jun'ai Byfield,DEF,TOT
2026,501,Kevin Danso,DEF,TOT
2026,498,Marcos Senesi Barón,DEF,TOT
2026,503,Micky van de Ven,DEF,TOT
2026,499,Pedro Porro Sauceda,DEF,TOT
2026,27,Gabriel Fernando de Jesus,FWD,ARS
2026,26,Kai Havertz,FWD,ARS
2026,25,Viktor Gyökeres,FWD,ARS
2026,582,Brian Madjo,FWD,AVL
2026,55,Ollie Watkins,FWD,AVL
2026,56,Tammy Abraham,FWD,AVL
2026,138,Charalampos Kostoulas,FWD,BHA
2026,139,Evan Ferguson,FWD,BHA
2026,125,Georginio Rutter,FWD,BHA
2026,593,Promise David,FWD,BHA
2026,137,Stefanos Tzimas,FWD,BHA
2026,80,Enes Ünal,FWD,BOU
2026,79,Francisco Evanilson de Lima Barbosa,FWD,BOU
2026,81,Álvaro Rodríguez,FWD,BOU
2026,108,Callum Wilson,FWD,BRE
2026,106,Igor Thiago Nascimento Rodrigues,FWD,BRE
2026,107,Kaye Furo,FWD,BRE
2026,136,Danny Welbeck,FWD,CHE
2026,170,Emmanuel Emegha,FWD,CHE
2026,165,João Pedro Junqueira de Jesus,FWD,CHE
2026,167,Liam Delap,FWD,CHE
2026,168,Marc Guiu Paz,FWD,CHE
2026,166,Nicolas Jackson,FWD,CHE
2026,169,Shumaira Mheuka,FWD,CHE
2026,194,Brandon Thomas-Asante,FWD,COV
2026,195,Ellis Simms,FWD,COV
2026,193,Haji Wright,FWD,COV
2026,196,Jahnoah Markelo,FWD,COV
2026,197,Norman Bassette,FWD,COV
2026,598,Sidiki Cherif,FWD,COV
2026,492,Taiwo Awoniyi,FWD,COV
2026,225,Christantus Uche,FWD,CRY
2026,224,Eddie Nketiah,FWD,CRY
2026,223,Jean-Philippe Mateta,FWD,CRY
2026,222,Jørgen Strand Larsen,FWD,CRY
2026,248,Norberto Bercique Gomes Betuncal,FWD,EVE
2026,249,Thierno Barry,FWD,EVE
2026,569,Gonzalo García,FWD,FUL
2026,272,Jonah Kusi-Asare,FWD,FUL
2026,271,Rodrigo Muniz Carvalho,FWD,FUL
2026,298,Enis Destan,FWD,HUL
2026,299,Mason Burstow,FWD,HUL
2026,295,Oli McBurnie,FWD,HUL
2026,322,Ali Al-Hamadi,FWD,IPS
2026,320,Chuba Akpom,FWD,IPS
2026,316,Emersonn Correia da Silva,FWD,IPS
2026,317,George Hirst,FWD,IPS
2026,321,Sindre Walle Egeli,FWD,IPS
2026,346,Dominic Calvert-Lewin,FWD,LEE
2026,348,Joël Piroe,FWD,LEE
2026,347,Lukas Nmecha,FWD,LEE
2026,349,Mateo Joseph Fernández-Regatillo,FWD,LEE
2026,379,Alexander Isak,FWD,LIV
2026,380,Hugo Ekitiké,FWD,LIV
2026,382,Jayden Danns,FWD,LIV
2026,411,Erling Haaland,FWD,MCI
2026,401,Omar Marmoush,FWD,MCI
2026,439,Benjamin Sesko,FWD,MUN
2026,441,Chido Obi,FWD,MUN
2026,440,Joshua Zirkzee,FWD,MUN
2026,463,Nick Woltemade,FWD,NEW
2026,466,Sean Neave,FWD,NEW
2026,465,William Osula,FWD,NEW
2026,464,Yoane Wissa,FWD,NEW
2026,493,Arnaud Kalimuendo,FWD,NFO
2026,490,Chris Wood,FWD,NFO
2026,491,Igor Jesus Maciel da Cruz,FWD,NFO
2026,552,Brian Brobbey,FWD,SUN
2026,553,Wilson Isidor,FWD,SUN
2026,528,Dane Scarlett,FWD,TOT
2026,526,Dominic Solanke-Mitchell,FWD,TOT
2026,527,Richarlison de Andrade,FWD,TOT
2026,1,David Raya Martín,GKP,ARS
2026,3,Illan Meslier,GKP,ARS
2026,2,Kepa Arrizabalaga Revuelta,GKP,ARS
2026,28,Emiliano Martínez Romero,GKP,AVL
