season,match_id,home_team,home_team_id,home_abbr,away_team,away_team_id,away_abbr,kickoff,home_score,away_score
2026,129083,Aston Villa,2,AVL,Leeds United,9,LEE,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129084,Coventry City,5,COV,Chelsea,4,CHE,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129085,Crystal Palace,6,CRY,Arsenal,1,ARS,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129086,Everton,7,EVE,Sunderland,29,SUN,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129087,Fulham,34,FUL,Brighton & Hove Albion,131,BHA,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129088,Hull City,41,HUL,Liverpool,10,LIV,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129089,Ipswich Town,8,IPS,Brentford,130,BRE,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129090,Manchester United,12,MUN,Nottingham Forest,15,NFO,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129091,Newcastle United,23,NEW,Manchester City,11,MCI,"Sat 26 Dec 2026, 15:00 GMT",,
2026,129092,Tottenham Hotspur,21,TOT,Bournemouth,127,BOU,"Sat 26 Dec 2026, 15:00 GMT",,
