season,category_id,ref_id,answer
2025/26,kamper,124968,1-2
2025/26,kamper,124961,2-1
2025/26,kamper,124962,4-1
2025/26,kamper,124963,0-0
2025/26,kamper,124966,2-1
2025/26,kamper,124970,0-1
2025/26,kamper,124964,1-2
2025/26,gule_kort,,27
2025/26,rode_kort,,0
2025/26,lag_flest_gule,,Chelsea
2025/26,kamp_flest_kort,,124964
2025/26,lag_flest_scoringer,,Brentford
2025/26,kamp_flest_scoringer,,124962
2025/26,clean_sheets,,3
2025/26,totalt_mal,,18
2025/26,kamp_flest_skudd,,124962
2025/26,kamp_flest_pasninger,,124966
2025/26,hoyeste_ballbesittelse,,66
2025/26,straffer,,0
2024/25,kamper,2024_MCI_EVE,1-1
2024/25,kamper,2024_BOU_CRY,0-0
2024/25,kamper,2024_CHE_FUL,1-2
2024/25,kamper,2024_NEW_AVL,3-0
2024/25,kamper,2024_NFO_TOT,1-0
2024/25,kamper,2024_SOU_WHU,0-1
2024/25,kamper,2024_WOL_MUN,2-0
2024/25,kamper,2024_LIV_LEI,3-1
2024/25,straffer,,1
2024/25,lag_flest_gule,,Everton
2024/25,keeper_flest_saves,,Leno(GK) - FUL
2023/24,kamper,2023_NEW_NFO,1-3
2023/24,kamper,2023_BOU_FUL,3-0
2023/24,kamper,2023_SHU_LUT,2-3
2023/24,kamper,2023_BUR_LIV,0-2
2023/24,kamper,2023_MUN_AVL,3-2
2023/24,straffer,,1
2023/24,rode_kort,,0
2023/24,clean_sheets,,2
2023/24,kamp_flest_scoringer,,2023_SHU_LUT
2023/24,keeper_flest_saves,,Trafford
2023/24,kamp_flest_skudd,,2023_NEW_NFO
2023/24,kamp_flest_pasninger,,2023_BUR_LIV
2023/24,hoyeste_ballbesittelse,,69
2023/24,var_omgjoringer,,2
2022/23,kamper,2022_BRE_TOT,2-2
2022/23,kamper,2022_CRY_FUL,0-3
2022/23,kamper,2022_EVE_WOL,1-2
2022/23,kamper,2022_LEI_NEW,0-3
2022/23,kamper,2022_SOU_BHA,1-3
2022/23,kamper,2022_AVL_LIV,1-3
2022/23,kamper,2022_ARS_WHU,3-1
2022/23,rode_kort,,2
2022/23,straffer,,3
2022/23,kamp_flest_kort,,2022_EVE_WOL
2022/23,clean_sheets,,2
